API_NUMBER,DA_STATUS_NUMBER,OPERATOR_NAME,LEASE_NAME,center_lat_wgs84,center_lon_wgs84,min_lat_wgs84,max_lat_wgs84,min_lon_wgs84,max_lon_wgs84
132859,0908816,"TRINITY GAS STORAGE, LLC",INITY GAS STORAGE UNIT        06,31.899155,-95.928087,31.89846854188561,31.899842168259237,-95.92889569419327,-95.92727772060294
349017,0901543,BULLDOG OPERATING COMPANY,OLLO                          10,32.362317,103.033186,32.36162988681319,32.36300351318681,103.03237299555704,103.03399920444295
307220,0908819,COMAL OPERATING LLC,IVERSITY GENESIS 34           10,32.108608,102.776302,32.10792138681319,32.10929501318681,102.77549076284313,102.77711243715686
307223,0908818,COMAL OPERATING LLC,IVERSITY GENESIS 34           10,32.105031,102.775126,32.10434388681319,32.10571751318681,102.77431519460978,102.77593680539022
348590,0879242,DIAMONDBACK E&P LLC,LAKE VALLEY 10-19 D          10,32.419619,102.238147,32.41893258681319,32.42030621318681,102.237333579499,102.238960820501
348593,0879252,DIAMONDBACK E&P LLC,LAKE VALLEY 10-19 G          10,32.419639,102.238069,32.41895208681319,32.42032571318681,102.23725577932314,102.23888302067687
349143,0907465,ELEVATION RESOURCES LLC,G 9-27 A                     10,32.172095,102.578256,32.17140868681319,32.17278231318681,102.57744449816262,102.57906730183738
349175,0908441,"FASKEN OIL AND RANCH, LTD.",E  BAR D                      10,32.310768,102.310499,32.31008118681319,32.31145481318681,102.30968615854248,102.31131144145753
349176,0908442,"FASKEN OIL AND RANCH, LTD.",E BAR D                       10,32.310744,102.310602,32.31005688681319,32.311430513186814,102.30978905876044,102.31141434123957
342035,0908424,"MONTARE OPERATING, LTD.",NDLEY-REMUDA                  10,32.289868,102.730771,32.28918088681319,32.29055451318681,102.72995874592134,102.73158365407868
348426,0908319,"RING ENERGY, INC.",10 NELSON                    10,32.142063,102.696230,32.14137658681319,32.14275021318681,102.69541876550183,102.69704103449818
349171,0908320,"SABALO II OPERATING, LLC",SASQUATCH 1-37 A             10,32.381458,102.387279,32.38077078681319,32.38214441318681,102.38646592334077,102.38809247665922
349172,0908321,"SABALO II OPERATING, LLC",SASQUATCH 1-37 B             10,32.381476,102.387201,32.38078878681319,32.38216241318681,102.38638772317874,102.38801427682127
349173,0908322,"SABALO II OPERATING, LLC",SASQUATCH 1-37 C             10,32.381494,102.387123,32.38080678681319,32.38218041318681,102.38630962301671,102.38793617698327
349174,0908323,"SABALO II OPERATING, LLC",SASQUATCH 1-37 D             10,32.381512,102.387045,32.38082478681319,32.38219841318681,102.38623142285469,102.38785797714532
530519,0908410,AETHON ENERGY OPERATING LLC,KY-ACLCO HAY                  06,31.371625,-94.493354,31.37093854081654,31.372312167190167,-94.49415818188825,-94.49254935973269
943386,0908482,BORDERLINE OPERATING CORP.,DREWS 'A'                     13,33.435613,-98.613960,33.43492659124015,33.43630021761377,-98.61478336233367,-98.61313732607707
943387,0908483,BORDERLINE OPERATING CORP.,DREWS 'A'                     13,33.429216,-98.612374,33.428529351048155,33.429902977421776,-98.61319673019045,-98.61155081526232
943388,0908846,BRIDWELL OIL CO.,IDWELL ARCHER RANCH -R-       13,33.462400,-98.596951,33.461713287926806,33.463086914300426,-98.59777402322743,-98.5961274785237
336242,0908632,"EOG RESOURCES, INC.",RLINO B                       01,28.674370,-98.770560,28.67368336633672,28.67505699271035,-98.77134233946323,-98.76977670508579
336243,0908633,"EOG RESOURCES, INC.",RLINO C                       01,28.674451,-98.770515,28.673763863848546,28.675137490222173,-98.77129783907718,-98.76973220349673
