DA_FIELD_APPLICATION_WELL_CODE,DA_FIELD_COMPLETION_DATE,DA_FIELD_COMPLETION_WELL_CODE,DA_FIELD_NUMBER,PARENT_STATUS_NUMBER
R,00000000,,07544400,0908816
I,00000000,,64890750,0901543
B,00000000,,57774275,0908819
I,00000000,,57774275,0908818
B,20220904,O,85280300,0879242
B,20221220,O,85280300,0879252
B,00000000,,28899040,0907465
B,00000000,,28899040,0908441
B,00000000,,28899040,0908442
O,00000000,,33176001,0908424
O,00000000,,33176001,0908319
O,00000000,,35654664,0908319
B,00000000,,85280300,0908320
B,00000000,,85280300,0908321
B,00000000,,85280300,0908322
B,00000000,,85280300,0908323
G,00000000,,16032300,0908410
B,00000000,,00022001,0908482
O,00000000,,02520500,0908482
B,00000000,,03446001,0908482
O,00000000,,46058333,0908482
B,00000000,,00022001,0908483
O,00000000,,02520500,0908483
B,00000000,,03446001,0908483
O,00000000,,46058333,0908483
B,00000000,,00022001,0908846
O,00000000,,02520600,0908846
B,00000000,,03446001,0908846
O,00000000,,46058333,0908846
B,00000000,,27135700,0908632
B,00000000,,27135700,0908633
B,00000000,,27135700,0908639
B,00000000,,27135700,0908641
B,00000000,,27135700,0908642
B,00000000,,27135700,0908644
B,00000000,,27135700,0908645
B,00000000,,27135700,0908646
I,00000000,,06334001,0905498
B,00000000,,00022001,0908672
O,00000000,,06334001,0908672
O,00000000,,24990100,0908672
B,00000000,,00022001,0908318
O,00000000,,06334001,0908318
O,00000000,,24990100,0908318
B,00000000,,00022001,0908311
O,00000000,,06334001,0908311
O,00000000,,24990100,0908311
B,00000000,,86950600,0908938
B,00000000,,85280300,0908164
B,00000000,,85280300,0908165
B,00000000,,85280300,0908166
B,00000000,,85280300,0908167
B,00000000,,00020001,0908638
B,00000000,,85280300,0907618
B,00000000,,85280300,0907619
B,00000000,,85280300,0907652
O,20240430,O,85280300,0907798
O,00000000,,85280300,0908558
O,00000000,,85280300,0908559
O,00000000,,46564750,0908600
B,00000000,,00012001,0907744
O,00000000,,66955500,0907744
