DA_CAN_RESTR_FLAG,DA_CAN_RESTR_KEY,DA_CAN_RESTR_REMARK,DA_CAN_RESTR_TYPE,DA_FREE_RESTR_FLAG,DA_FREE_RESTR_KEY,DA_FREE_RESTR_REMARK,PARENT_STATUS_NUMBER,RESTRICTION_TYPE
,02,,01,,,,0908816,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908816,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908816,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908816,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908816,FREE_FORM
,,,,F,05,BOTTOM HOLE # BH1,0908816,FREE_FORM
,,,,F,06,BH COUNTY: 001,0908816,FREE_FORM
,,,,F,07,SECTION:         BLOCK:           ABSTRACT: 450,0908816,FREE_FORM
,,,,F,08,"SURVEY NAME:     KINLEY, T H",0908816,FREE_FORM
,,,,F,09,LEASE LINES:     002955.00 FNW           L,0908816,FREE_FORM
,,,,F,10,000635.00 FE            L,0908816,FREE_FORM
,,,,F,11,SURVEY LINES:    007075.00 FS            L,0908816,FREE_FORM
,,,,F,12,000845.00 FE            L,0908816,FREE_FORM
,02,,01,,,,0901543,CANNED
,03,,03,,,,0901543,CANNED
,04,,02,,,,0901543,CANNED
,02,,01,,,,0908819,CANNED
,03,,02,,,,0908819,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908819,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908819,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908819,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908819,FREE_FORM
,02,,01,,,,0908818,CANNED
,03,,03,,,,0908818,CANNED
,04,,02,,,,0908818,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908818,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908818,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908818,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908818,FREE_FORM
,02,,01,,,,0879242,CANNED
,,,,F,01,AN APPROVAL FOR DOUBLE ASSIGNMENT OF SURFACE ACREAGE HAS BEEN GRANTED,0879242,FREE_FORM
,,,,F,02,FOR THIS FIELD PURSUANT TO SWR 40(E)(2). YOU ARE REQUIRED TO ATTACH TH,0879242,FREE_FORM
,,,,F,03,E APPROVED R40 LETTER TO THE COMPLETION PACKET. THE APPROVED R40 LETTE,0879242,FREE_FORM
,,,,F,04,R MAY BE FOUND IN THE ATTACHMENTS SECTION OF THIS W-1.,0879242,FREE_FORM
,,,,F,05,LATERAL # TH1,0879242,FREE_FORM
