API_NUMBER,BH_LATITUDE,BH_LONGITUDE,DA_COUNTY_CODE_ROOT,DA_DATE_APP_RECEIVED,DA_DIRECTIONAL_WELL_FLAG,DA_DISTRICT_ROOT,DA_ECAP_FILING_FLAG,DA_HORIZONTAL_WELL_FLAG,DA_ISSUE_DATE,DA_LEASE_NAME_ROOT,DA_NEAREST_WELL,DA_OLD_SURFACE_LOCATION,DA_OPERATOR_NAME,DA_OPERATOR_NUMBER_ROOT,DA_PERMIT_COUNTY_CODE,DA_PERMIT_DISTRICT,DA_PERMIT_ISSUED_DATE,DA_PERMIT_LEASE_NAME,DA_PERMIT_NUMBER,DA_PERMIT_OPERATOR_NUMBER,DA_PERMIT_ROOT,DA_PERMIT_SEQUENCE_NUMBER,DA_PERMIT_TOTAL_DEPTH,DA_PERMIT_WELL_NUMBER,DA_RECEIVED_DATE,DA_RULE_37_CASE_NUMBER,DA_STATUS_NUMBER,DA_STATUS_OF_APP_FLAG,DA_STATUS_SEQUENCE_NUMBER,DA_SURFACE_ACRES,DA_SURFACE_DIRECTION_FROM_CITY,DA_SURFACE_MILES_FROM_CITY,DA_SURFACE_NEAREST_CITY,DA_TYPE_APPLICATION,DA_WELL_NUMBER_ROOT,DA_WELL_STATUS,RRC_TAPE_RECORD_ID,SURFACE_LATITUDE,SURFACE_LONGITUDE
132859,31..8938000,-95..9220000,001,20250624,N,06,X,,20250625,TRINITY GAS STORAGE UNIT,0                         O0,"KINLEY, T H","TRINITY GAS STORAGE, LLC",101477,1TR,,25062500,INITY GAS STORAGE UNIT        06,0881699,147701,0908816,00,00010,11  10,25062420,0000000,0908816,A,99,083786.00,BE,0150S,THEL       00,,11,0,01,31..8989880,-95..9278290
349017,32..3623167,103..0331861,003,20250605,N,10,E,,20240726,APOLLO,0                         O0,"A40       PSL / SPAIN, W",BULLDOG OPERATING COMPANY,106508,3AP,,24072620,OLLO                          10,0154398,650801,0901543,00,42510,1  10,25060520,0000000,0901543,A,98,032000.00,AN,2870NW,DREWS      00,,1,0,01,32..3623167,103..0331861
307220,32..1086082,102..7763016,003,20250624,N,10,X,,20250625,UNIVERSITY GENESIS 34,70.0                      O0,11        UL,COMAL OPERATING LLC,169379,3UN,10,25062500,IVERSITY GENESIS 34           10,0881999,937907,0908819,00,15016,01  08,25062420,0000000,0908819,A,99,033075.00,AN,2000SW,DREWS      00,,1001,0,01,32..1086082,102..7763016
307223,32..1050307,102..7751260,003,20250624,N,10,X,,20250624,UNIVERSITY GENESIS 34,0                         O0,11        UL,COMAL OPERATING LLC,169379,3UN,10,25062400,IVERSITY GENESIS 34           10,0881899,937907,0908818,00,11516,02W 08,25062420,0000000,0908818,A,99,033075.00,AN,2400SW,DREWS      00,,1002W,0,01,32..1050307,102..7751260
348590,32..3934637,102..2270242,003,20240515,N,10,X,,20220425,UL LAKE VALLEY 10-19 D,0                         O0,7         UL,DIAMONDBACK E&P LLC,217012,3UL,,22042520,LAKE VALLEY 10-19 D          10,7924298,701201,0879242,00,41621,3JM09,24051520,0000000,0879242,A,98,056000.00,AN,1920NE,DREWS      00,,3JM,0,01,32..4196194,102..2381472
348593,32..3926325,102..2305441,003,20240515,N,10,X,,20220425,UL LAKE VALLEY 10-19 G,0                         O0,7         UL,DIAMONDBACK E&P LLC,217012,3UL,,22042520,LAKE VALLEY 10-19 G          10,7925298,701201,0879252,00,00021,2WA13,24051520,0000000,0879252,A,98,056000.00,AN,1920NE,DREWS      00,,2WA,0,01,32..4196389,102..2380694
349143,32..1693417,102..5871257,003,20250527,N,10,P,,20250417,UL G 9-27 A,0                         O0,9         UL,ELEVATION RESOURCES LLC,247756,3UL,,25041720,G 9-27 A                     10,0746598,775601,0907465,00,00024,1H 15,25052720,0000000,0907465,A,98,048247.00,AN,1000SW,DREWS      00,,1H,0,01,32..1720955,102..5782559
349175,32..2820233,102..2992762,003,20250605,N,10,X,,20250609,FEE  BAR D,0                         O0,40 T3N    G&MMB&A,"FASKEN OIL AND RANCH, LTD.",263696,3FE,,25060900,E  BAR D                      10,0844199,369601,0908441,00,50026,1  12,25060520,0000000,0908441,A,99,128675.00,AN,1380SE,"DREWS, TX  01",,1,0,01,32..3107680,102..3104988
349176,32..2810473,102..3033901,003,20250605,N,10,X,,20250609,FEE BAR D,20.0                      O0,40 T3N    G&MMB&A,"FASKEN OIL AND RANCH, LTD.",263696,3FE,,25060900,E BAR D                       10,0844299,369601,0908442,00,50026,2  12,25060520,0000000,0908442,A,99,128675.00,AN,1380SE,"DREWS, TX  01",,2,0,01,32..3107437,102..3106017
342035,32..2915764,102..7336107,003,20250604,N,10,X,,20250610,LINDLEY-REMUDA,0.0                       O0,"A47       PSL / WALKER, J C","MONTARE OPERATING, LTD.",577015,3LI,,25061000,NDLEY-REMUDA                  10,0842499,701514,0908424,00,95857,28  04,25060420,0000000,0908424,A,99,036205.00,AN,1100SW,DREWS      00,,28,0,01,32..2898677,102..7307712
348426,32..1577313,102..7012953,003,20250529,N,10,X,,20250609,UL 10 NELSON,0                         O0,10        UL,"RING ENERGY, INC.",712382,3UL,,25060900,10 NELSON                    10,0831999,238201,0908319,00,10071,1H 05,25052920,0000000,0908319,A,99,033339.00,AN,1500SW,"DREWS, TX  00",,1H,0,01,32..1420634,102..6962299
349171,32..4098195,102..3992061,003,20250529,N,10,X,,20250603,UL SASQUATCH 1-37 A,0                         O0,3         UL,"SABALO II OPERATING, LLC",741937,3UL,,25060300,SASQUATCH 1-37 A             10,0832099,193701,0908320,00,50074,1JM09,25052920,0000000,0908320,A,99,063990.00,AN,1024NE,DREWS      00,,1JM,0,01,32..3814576,102..3872792
349172,32..4102944,102..3971420,003,20250529,N,10,X,,20250603,UL SASQUATCH 1-37 B,0.0                       O0,3         UL,"SABALO II OPERATING, LLC",741937,3UL,,25060300,SASQUATCH 1-37 B             10,0832199,193701,0908321,00,80074,1LS09,25052920,0000000,0908321,A,99,063990.00,AN,1024NE,DREWS      00,,1LS,0,01,32..3814756,102..3872010
349173,32..4107693,102..3950780,003,20250529,N,10,X,,20250603,UL SASQUATCH 1-37 C,0.0                       O0,3         UL,"SABALO II OPERATING, LLC",741937,3UL,,25060300,SASQUATCH 1-37 C             10,0832299,193701,0908322,00,50074,2JM09,25052920,0000000,0908322,A,99,063990.00,AN,1024NE,DREWS      00,,2JM,0,01,32..3814936,102..3871229
349174,32..4112441,102..3930139,003,20250529,N,10,X,,20250603,UL SASQUATCH 1-37 D,0.0                       O0,3         UL,"SABALO II OPERATING, LLC",741937,3UL,,25060300,SASQUATCH 1-37 D             10,0832399,193701,0908323,00,80074,2LS09,25052920,0000000,0908323,A,99,063990.00,AN,1024NE,DREWS      00,,2LS,0,01,32..3815116,102..3870447
